,City,Cloudiness,Country,Date,Humidity,Latitute,Longitute,Max Temp,Wind
0,Pietarsaari,1,US,1551815409,32,32.35,-95.3,45.0,9.17
1,Carnarvon,0,ZA,1551815685,33,-30.97,22.13,65.32,6.73
2,Milingimbi,40,CL,1551814990,40,-53.16,-70.91,51.8,25.28
3,Guozhen,56,PG,1551815694,100,-2.02,147.27,81.7,1.59
4,Lorengau,0,SO,1551815694,47,4.12,43.89,79.32,8.41
5,Tevriz,40,US,1551815715,32,42.65,-73.75,30.0,3.36
6,Provideniya,0,UY,1551815719,82,-33.69,-53.46,74.77,10.87
7,Albany,0,IT,1551815718,66,44.31,9.34,55.0,5.82
8,Butaritari,0,FR,1551815648,50,44.83,-0.61,57.2,9.17
9,Bonthe,75,CL,1551812400,82,-42.48,-73.76,59.0,17.22
10,Lavagna,75,CA,1551815604,48,50.2,-66.38,19.4,23.04
11,Gasa,40,CL,1551814990,40,-53.16,-70.91,51.8,25.28
12,San Quintin,75,JP,1551815588,68,26.12,127.67,71.6,14.99
13,Port-De-Paix,20,GB,1551815704,70,52.47,1.45,48.99,14.99
14,Taolanaro,40,CA,1551815143,74,47.66,-52.73,30.99,29.97
15,Sept-Iles,92,KI,1551815736,100,3.07,172.79,76.12,9.53
16,Nizhneyansk,48,PY,1551815628,75,-26.98,-56.83,80.67,5.17
17,Juba,0,NZ,1551815407,96,-46.19,168.86,62.01,14.0
18,Ituni,75,AR,1551812400,70,-54.81,-68.31,50.0,24.16
19,Karratha,24,ET,1551815777,91,8.96,38.73,48.67,3.94
20,Broome,36,PL,1551815755,86,52.05,15.1,39.0,5.01
21,Skibbereen,40,US,1551815512,32,42.65,-73.75,30.0,3.36
22,Airai,0,CN,1551812400,49,36.55,104.13,26.6,4.47
24,Saint-Francois,40,MU,1551815645,78,-20.34,57.76,80.6,6.93
25,Lebu,0,AU,1551812400,33,-25.24,130.99,77.0,9.17
26,Mataura,0,PE,1551812400,30,-13.71,-76.2,71.6,18.34
27,Maun,8,ZA,1551815509,88,-33.59,26.89,70.0,5.01
28,Ushuaia,5,MX,1551811440,70,16.86,-99.88,84.2,8.05
30,Tuktoyaktuk,92,MV,1551815806,100,-0.6,73.08,82.2,7.18
31,Port Arthur,44,RU,1551815807,53,71.97,114.09,-10.69,6.85
33,Kapaa,75,US,1551815722,48,40.33,-91.2,21.99,17.22
34,Jamestown,40,MU,1551815645,78,-20.41,57.7,80.6,6.93
36,Luderitz,8,ZA,1551815509,88,-33.59,26.89,70.0,5.01
37,Bur Gabo,92,RU,1551815821,94,55.07,40.96,35.17,14.56
38,Yulara,88,AU,1551815822,75,-23.58,149.07,75.58,8.63
39,Vaini,0,CN,1551815822,49,39.94,119.59,35.85,7.74
41,Port Alfred,75,US,1551815602,60,22.08,-159.32,71.6,20.8
42,Khatanga,8,NO,1551815704,100,62.58,6.12,33.01,16.11
43,Hayden,8,BS,1551815824,88,26.54,-77.06,80.8,14.79
44,San Vicente,1,US,1551815777,31,30.04,-94.42,48.2,14.99
45,Vaitupu,92,RU,1551815824,97,65.58,-170.99,28.47,14.45
47,Saskylakh,40,BR,1551812400,83,-22.97,-42.02,82.4,14.99
48,Springbok,0,ZA,1551815188,73,-34.53,20.04,69.8,9.17
49,Busselton,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
50,Basco,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
51,Punta Arenas,0,IT,1551815893,70,45.88,10.89,51.8,3.36
52,Sao Filipe,80,GA,1551815895,100,-0.7,10.22,72.93,1.92
53,Mar Del Plata,90,CA,1551815836,57,45.36,-73.48,21.2,11.65
54,Kalmunai,8,AR,1551815896,21,-38.31,-60.23,80.71,12.44
55,Tasiilaq,88,RU,1551815897,81,61.81,36.54,15.82,15.01
56,Vikulovo,40,TT,1551815161,51,10.24,-61.45,86.0,18.34
57,Palora,44,TC,1551815897,100,21.46,-71.14,76.21,13.0
58,Bluff,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
60,Margate,1,US,1551815826,36,36.87,-87.49,35.01,8.05
61,Esterhazy,48,PY,1551815628,75,-26.98,-56.83,80.67,5.17
62,Halalo,68,PF,1551815832,100,-23.12,-134.97,79.68,15.23
